"","V1"
"1",0.22387
"2",0.02453
"3",0.03729
"4",0.05402
"5",0.04213
"6",0.17383
"7",0.12242
"8",0.32515
"9",0.02298
"10",0.50928
"11",0.22041
"12",0.07291
"13",0.02899
"14",0.52219
"15",0.33227
"16",0.27024
"17",0.08125
"18",0.82047
"19",0.34416
"20",0.11318
"21",0.10748
"22",0.17975
"23",0.14075
"24",0.10166
"25",0.57691
"26",0.51514
"27",0.05325
"28",0.03914
"29",0.25349
"30",0.58434
"31",0.03984
"32",0.04692
"33",0.00039
"34",0.34469
"35",0.08423
"36",0.0602
"37",0.42929
"38",0.00319
"39",0.08434
"40",0.0013
"41",0.74472
"42",0.00165
"43",0.14407
"44",0.18044
"45",0.02235
"46",0.23932
"47",0.33199
"48",0.45374
"49",0.03587
"50",0.3638
"51",0.0144
"52",0.67142
"53",0.35325
"54",0.02135
"55",0.04799
"56",0.09447
"57",0.27166
"58",0.48042
"59",0.55795
"60",0.02948
"61",0.09075
"62",0.00265
"63",0.01138
"64",0.10837
"65",0.36267
"66",0.08472
"67",0.63673
"68",0.47991
"69",0.03561
"70",0.02581
"71",0.02238
"72",0.42983
"73",0.89288
"74",0.22704
"75",0.0537
"76",0.09805
"77",0.03613
"78",0.10095
"79",0.23761
"80",0.08861
"81",0.02453
"82",0.29788
"83",0.32369
"84",0.09913
"85",0.07601
"86",0.06454
"87",0.09454
"88",0.09681
"89",0.88924
"90",0.21073
"91",0.7397
"92",0.18061
"93",0.58015
"94",0.62037
"95",0.46316
"96",0.04779
"97",0.35622
"98",0.12625
"99",0.00233
"100",0.04565
"101",5e-05
"102",0.46006
"103",0.33604
"104",0.20219
"105",0.04186
"106",0.7169
"107",0.76154
"108",0.77573
"109",0.30014
"110",0.98506
"111",0.05194
"112",0.00028
"113",0.15816
"114",0.01616
"115",0.12962
"116",0.0163
"117",0.0017
"118",0.07132
"119",0.01527
"120",0.0582
"121",0.37048
"122",0.01712
"123",0.08961
"124",0.06656
"125",0.01111
"126",0.01827
"127",0.03375
"128",0.36681
"129",0.0014
"130",0.52982
"131",0.29395
"132",0.17481
"133",0.17613
"134",0.22865
"135",0.18388
"136",0.55611
"137",0.29175
"138",0.45081
"139",0.0252
"140",0.82943
"141",0.65714
"142",0.14183
"143",0.09124
"144",0.16605
"145",0.46373
"146",0.01229
"147",0.19866
"148",0.06384
"149",0.03776
"150",0.05908
"151",0.10845
"152",0.06066
"153",0.07935
"154",0.09623
"155",0.89728
"156",0.9515
"157",0.50293
"158",0.00884
"159",0.26469
"160",0.78955
"161",0.10425
"162",0.18336
"163",0.08198
"164",0.73915
"165",0.38804
"166",0.01526
"167",0.06121
"168",0.04984
"169",0.00073
"170",0.00104
"171",0.07454
"172",0.20853
"173",0.21889
"174",0.12771
"175",0.07017
"176",0.00193
"177",0.17396
"178",0.0022
"179",0.78652
"180",0.88648
"181",0.19034
"182",0.09158
"183",0.47972
"184",0.19
"185",0.0784
"186",0.77878
"187",0.01792
"188",0.17119
"189",0.31726
"190",0.03827
"191",0.42341
"192",0.1368
"193",0.34983
"194",0.03793
"195",0.09612
"196",0.38405
"197",0.09581
"198",0.07694
"199",0.22698
"200",0.08203
"201",0.169
"202",0.03819
"203",0.48577
"204",0.18624
"205",0.37433
"206",0.0826
"207",0.30293
"208",0.21284
"209",0.09139
"210",0.01011
"211",0.12466
"212",0.34861
"213",0.02075
"214",0.01762
"215",0.07675
"216",0.08428
"217",0.06866
"218",0.01645
"219",0.30955
"220",0.005
"221",0.31905
"222",0.00685
"223",0.72901
"224",0.0556
"225",0.06955
"226",0.50589
"227",0.29372
"228",0.16059
"229",0.25265
"230",0.22946
"231",0.92271
"232",0.30742
"233",0.04148
"234",0.14907
"235",0.17457
"236",0.21795
"237",0.32472
"238",0.17056
"239",0.04194
"240",0.04038
"241",0.4225
"242",0.3671
"243",0.03236
"244",0.11626
"245",0.36732
"246",0.00598
"247",0.76218
"248",0.00857
"249",0.11039
"250",0.13308
"251",0.10632
"252",0.18174
"253",0.04348
"254",0.21919
"255",0.24805
"256",0.13658
"257",0.08682
"258",0.55451
"259",0
"260",0.18583
"261",0.00244
"262",0.04039
"263",0.01501
"264",0.185
"265",0.31958
"266",0.07523
"267",0.04426
"268",0.46386
"269",0.42001
"270",0.11434
"271",0.00657
"272",0.92584
"273",0.00879
"274",0.01425
"275",0.0231
"276",0.47927
"277",0.07724
"278",0.68778
"279",0.28219
"280",0.01287
"281",3e-04
"282",0.17723
"283",0.2181
"284",0.34456
"285",0.04782
"286",0.22904
"287",0.02412
"288",0.26891
"289",0.99417
"290",0.00025
"291",0.05882
"292",0.48499
"293",0.05769
"294",0.20452
"295",0.06564
"296",0.19245
"297",0.51764
"298",0.36024
"299",0.31814
"300",0.03316
"301",0.00739
"302",0.11358
"303",0.58208
"304",0.00188
"305",0.35188
"306",0.46145
"307",0.15663
"308",0.08263
"309",0.25036
"310",0.1853
"311",0.62244
"312",0.16884
"313",0.03849
