"","V1"
"1",0.33052
"2",0.1325
"3",0.75121
"4",0.01868
"5",0.1538
"6",0.02317
"7",0.00588
"8",0.00089
"9",0.16792
"10",0.00691
"11",0.02327
"12",0.03196
"13",0.00732
"14",8e-05
"15",0.08185
"16",0.09044
"17",0.19591
"18",0.34535
"19",0.00012
"20",0.02476
"21",0.01461
"22",0.05563
"23",3e-04
"24",0.00089
"25",0.00886
"26",0.00909
"27",0.19063
"28",0.4561
"29",0.12918
"30",0.00491
"31",0.07695
"32",0.05128
"33",0.05947
"34",0.00314
"35",0.00131
"36",0.09781
"37",0.03146
"38",0.00612
"39",0.02146
"40",0.01507
"41",0.0212
"42",0.00124
"43",0.01267
"44",0.02613
"45",0.00135
"46",0.10663
"47",0.00021
"48",0.00555
"49",0.01042
"50",0.01289
"51",1e-04
"52",0.30266
"53",0.02304
"54",0.00657
"55",0.00295
"56",0.31408
"57",0.03558
"58",4e-05
"59",0.03606
"60",0.00112
"61",0.00663
"62",0.32382
"63",0.00066
"64",0.00939
"65",0.00033
"66",0.00292
"67",0.00403
"68",0.00096
"69",0.00036
"70",0.33383
"71",0.02553
"72",0.2043
"73",0.18659
"74",0.05774
"75",0.00361
"76",0.00962
"77",0.0088
"78",0.39375
"79",0.00482
"80",0.23266
"81",0.00614
"82",0.22102
"83",0.00199
"84",0.00042
"85",0.06776
"86",0.02469
"87",0.04175
"88",0.00823
"89",0.00258
"90",3e-05
"91",0.00714
"92",0.11136
"93",0.39453
"94",0.11956
"95",0.36942
"96",0.54174
"97",0.00944
"98",0.11612
"99",0.00063
"100",0.02771
"101",0.53897
"102",0.44072
"103",0.00173
"104",0.00176
"105",0.00059
"106",0.07553
"107",0.00303
"108",0.00026
"109",0.00864
"110",0.05483
"111",0.02094
"112",0.08836
"113",0.04196
"114",0.00102
"115",0.02154
"116",0.22403
"117",0.01572
"118",0.16146
"119",0.00689
"120",0.00207
"121",0.00772
"122",0.05506
"123",0.00246
"124",0.00194
"125",0.33465
"126",0.05395
"127",0.15973
"128",0.00021
"129",0.00331
"130",0.00015
"131",0.0205
"132",0.28947
"133",0.09539
"134",0.2708
"135",0.04537
"136",0.03612
"137",0.00616
"138",0.2092
"139",0
"140",0.12877
"141",0.00206
"142",0.02433
"143",0.0037
"144",0.02176
"145",0.11027
"146",0.10694
"147",0
"148",0.28457
"149",0.26748
"150",0.4387
"151",0.04414
"152",0.08628
"153",0.13932
"154",0.18037
"155",0.00107
"156",0.02443
"157",0.68712
"158",0.33832
"159",0.01237
"160",0.01087
"161",0.16729
"162",0.0247
"163",0.06385
"164",0.00019
"165",0.00116
"166",0.08677
"167",0.05435
"168",0.09767
"169",0.08693
"170",0.0128
"171",0.1031
"172",0.03835
"173",0.01291
"174",0.04037
"175",0.01763
"176",0.02524
"177",0.06925
"178",0.06173
"179",0.05349
"180",0.0454
"181",0.0873
"182",0.03013
"183",0.07035
"184",0.00294
"185",0.00047
"186",0.00065
"187",0.08447
"188",0.00765
"189",0.20738
"190",0.1057
"191",0.00566
"192",0.02545
"193",0.00454
"194",0.0638
"195",0.00606
"196",0.00342
"197",0.04898
"198",0.24864
"199",0.15883
"200",0.01151
"201",0.04286
"202",0.22988
"203",0.44951
"204",0.08412
"205",0.30514
"206",0.00534
"207",0.00249
"208",0.00066
"209",0.00389
"210",0.14526
"211",0.052
"212",0.0025
"213",0.00079
"214",0.00166
"215",0.00361
"216",0.18116
"217",0.00668
"218",0.03157
"219",0.09571
"220",0.18082
"221",0.01135
"222",0.21672
"223",0.01892
"224",1e-05
"225",0.01385
"226",0.02111
"227",0.13907
"228",0.0485
"229",0.05191
"230",0.01537
"231",0.07899
"232",0.01013
"233",0.00296
"234",0.29478
"235",0.00282
"236",0.21166
"237",0.0158
"238",0.06622
"239",0.32847
"240",0.01694
"241",0.01772
"242",0.01163
"243",0.01206
"244",0.00244
"245",0.51815
"246",0.2192
"247",0
"248",0.01792
"249",0.29778
"250",0.00111
"251",0.09472
"252",3e-04
"253",0.05176
"254",0.72679
"255",0.31234
"256",0.00038
"257",0.01542
"258",0.0013
"259",0.22701
"260",0.06813
"261",0.08729
"262",0.11107
"263",0.00154
"264",0.50894
"265",0.04545
"266",0.00934
"267",0.05152
"268",0
"269",0.00629
"270",0.07351
"271",0.06108
"272",0.02527
"273",0.65864
"274",0.04523
"275",0.00121
"276",0.00051
"277",0.00095
"278",0.11891
"279",0.37214
"280",0.00399
"281",0.21136
"282",0.00428
"283",0.00877
"284",0.00074
"285",0.08807
"286",0.18481
"287",0.0011
"288",0.01226
"289",0.036
"290",0.01621
"291",0.00274
"292",0.02387
"293",0.04515
"294",0.0023
"295",7e-04
"296",0.31126
"297",0.07338
"298",0.01025
"299",0.00017
"300",0.00666
"301",0.00126
"302",0.21812
"303",0.06162
"304",0.00629
"305",1e-05
"306",0.00538
"307",0.00011
"308",0.00875
"309",0.00184
"310",0.15986
"311",0.00017
"312",0.00043
"313",0.00501
"314",0.00867
"315",0.00107
"316",0.01619
"317",0.00367
"318",0.07924
"319",0.0349
"320",0.00333
"321",0.00181
"322",0.05025
"323",0.04033
"324",0.34242
"325",5e-04
"326",0.00366
"327",0.0022
"328",0.01045
"329",0.23447
"330",0.14022
"331",1e-05
"332",0.02585
"333",0.04399
"334",0.00214
"335",0.00827
"336",0.16814
"337",1e-05
"338",0.05144
"339",0.00088
"340",0.02793
"341",0.27991
"342",0.00758
"343",0.0213
"344",0.03343
"345",0.04004
"346",0.05394
"347",0.18652
"348",0.00094
"349",0.04765
"350",0.33431
"351",0.01154
"352",0.07289
"353",0.02757
"354",0.00513
"355",0.04402
"356",0.10857
"357",0.18593
"358",0.08783
"359",0.19912
"360",0.00024
"361",0.05167
"362",0.06777
"363",0.10489
"364",0.1856
"365",0.00241
"366",0.06116
"367",0.0171
"368",0.06945
"369",0.00016
"370",0.00537
"371",0.04605
"372",0.00204
"373",0.00177
"374",0.00064
"375",0.0107
"376",0.00289
"377",0.02517
"378",0.00192
"379",0.01863
"380",0.00449
"381",0.41665
"382",0.00154
"383",0.00768
"384",0.42875
"385",0.02114
"386",0.07531
"387",0.02359
"388",0.05192
"389",0.14339
"390",0.05342
"391",0.05271
"392",0.00257
"393",0.00451
"394",0.00093
"395",0.06592
"396",0.04347
"397",0.0013
"398",0.00017
"399",0.19179
"400",0.35456
"401",0.01321
"402",0.03481
"403",0.06666
"404",0.01353
"405",0.03625
"406",0.13681
"407",0.05456
"408",0.02764
"409",0.12075
"410",0.0034
"411",0.00054
"412",0.18566
"413",0.00418
"414",0.00963
"415",0.09307
"416",0.01236
"417",0.17491
"418",0.00959
"419",0.00048
"420",0.29685
"421",0.0059
"422",0.0707
"423",0.05178
"424",0.00256
"425",0.00327
"426",0.03189
"427",0.00135
"428",0.37074
"429",0.48245
"430",0.13247
"431",0.00429
"432",0.14647
"433",0.00527
"434",0.50019
"435",0.14685
"436",0.00141
"437",0.05044
"438",0.22996
"439",0.05725
"440",0.02402
"441",0.00267
"442",0.00051
"443",0.01941
"444",0.21613
"445",0.30145
"446",0.00289
"447",0.03673
"448",0.38061
"449",0.00796
"450",0.04408
"451",0.0222
"452",0.30036
"453",0.49549
"454",0.01079
"455",0.02359
"456",5e-05
"457",0.01736
"458",0.00367
"459",0.05996
"460",0.00145
"461",0.01255
"462",0.00383
"463",0.00731
"464",0.00818
"465",0.0077
"466",0.04151
"467",0.01565
"468",0.12822
"469",0.15495
"470",0.04556
"471",0.00053
"472",0.10263
"473",0.0438
"474",0.00596
"475",0.20789
"476",0.00014
"477",0.29422
"478",0.14972
"479",0.03704
"480",0.16347
"481",0.51116
"482",0.05099
"483",0.05385
"484",0.01099
"485",0.13534
"486",0.00671
"487",0.05962
"488",0.05388
"489",6e-05
"490",0.14231
"491",0.16056
"492",0.56845
"493",5e-04
"494",0.13871
"495",0.02005
"496",0.04298
"497",0.01729
"498",0.30466
"499",0.00698
"500",0.00188
"501",0.00179
"502",0.04156
"503",0.03884
"504",0.19795
"505",0.08108
"506",0.02881
"507",0.0352
"508",0.00021
"509",0.01558
"510",0.1755
"511",0
"512",0.4216
"513",0.00256
"514",0.01232
"515",0.03816
"516",0.22374
"517",0.34357
"518",0.00905
"519",0.00299
"520",0.11076
"521",0.05567
"522",0.43803
"523",0.05402
"524",0.03706
"525",0.04501
"526",0.4801
"527",0.00055
"528",0.00084
"529",0.01115
"530",0.07926
"531",0.15261
"532",0.52419
"533",0.06966
"534",0.1255
"535",0.11245
"536",0.10779
"537",0.20025
"538",0.00146
"539",0.19321
"540",0.07109
"541",0.01771
"542",0.01143
"543",0.21339
"544",0.00608
"545",0.01334
"546",0.13341
"547",0.04175
"548",0.50283
"549",0.07161
"550",0.08611
"551",0
"552",0.04657
"553",0.1243
"554",0.00151
"555",0.0599
"556",0.00016
"557",3e-05
"558",0.05009
"559",0.1464
"560",0.00398
"561",0.00297
"562",0.05995
"563",0.26536
"564",0.21901
"565",0.06074
"566",0.00046
"567",0.05711
"568",0.23098
"569",0.07876
"570",0.02629
"571",0.0313
"572",0.00998
"573",0.03145
"574",0.64474
"575",0.00086
"576",0.05102
"577",0.10363
"578",0.54458
"579",0.00799
"580",0.04683
"581",0.00099
"582",0.02662
"583",0.04513
"584",0.40883
"585",0.07966
"586",0.00562
"587",0
"588",0.03046
"589",0.6355
"590",0.00077
"591",0.23141
"592",0.01267
"593",0.02219
"594",0.16122
"595",0.00067
"596",0.10314
"597",0.31888
"598",0.01028
"599",0.00294
"600",0.11197
"601",0.03696
"602",0.01343
"603",0.058
"604",0.07414
"605",2e-05
"606",0.00756
"607",0.00305
"608",0.00029
"609",0.26882
"610",0.29195
"611",0.35391
"612",0.12556
"613",0.61291
"614",0.02538
"615",0.01433
"616",0.00142
"617",0.00011
"618",0.01307
"619",0.01099
"620",0.03636
"621",0.00094
"622",0.00164
"623",0.07749
"624",0.03272
"625",0.03485
"626",0.08152
"627",0.00048
"628",0.05017
"629",0.00469
"630",0.01621
"631",0.00205
"632",0.00285
"633",0.18354
"634",0.22579
"635",0.32243
"636",0.01582
"637",0.00223
"638",0.22201
"639",0.03258
"640",0.22228
"641",0.42976
"642",0.03263
"643",0.08919
"644",0.00052
"645",0.04857
"646",0.28979
"647",0.00071
"648",0.01003
"649",0.01233
"650",0.01124
"651",0.0318
"652",0.00112
"653",0.00816
"654",0.1165
"655",0.01871
"656",1e-05
"657",0.19171
"658",0.23052
"659",0.00698
"660",0.02487
"661",0.01673
"662",0.01091
"663",0.03304
"664",0.0194
"665",0.03046
"666",0.10717
"667",0.01862
"668",0.36328
"669",0.00234
"670",0.05485
"671",0.18657
"672",0.19296
"673",0.06694
"674",0.00547
"675",0.00236
"676",0.01177
"677",0.00115
"678",0.00597
"679",0.24079
"680",0.03936
"681",0.00118
"682",0.00395
"683",0.00595
"684",0.06467
"685",0.03658
"686",0.00874
"687",0.01042
"688",0.00021
"689",0.00125
"690",0.0299
"691",0.00068
"692",0.02589
"693",0.00173
"694",0.00588
"695",0.00295
"696",0.0506
"697",0.00376
"698",0.20878
"699",0.47663
"700",0.00842
"701",0.19836
"702",0.00111
"703",0.20883
"704",0.00246
"705",0.1503
"706",8e-05
"707",0.00058
"708",0.00065
"709",0.00065
"710",0.02707
"711",0.06515
"712",0.01417
"713",0.18731
"714",0.16367
"715",0.00317
"716",0.0224
"717",0.24408
"718",0.00221
"719",0.01968
"720",0.0905
"721",0.00167
"722",0.03905
"723",0.02696
"724",0.46518
"725",0.26309
"726",0.05383
"727",0.46335
"728",0.00629
"729",0.00137
"730",0.0515
"731",0.01041
"732",0
"733",0.01004
"734",0.0078
"735",0.10117
"736",0.00602
"737",0.22528
"738",0.00415
"739",3e-05
"740",0.0023
"741",0.02349
"742",0.0402
"743",0.07411
"744",0.0926
"745",0.00303
"746",0.73762
"747",0.06879
"748",0.00684
"749",0.02015
"750",0.01899
"751",0.21341
"752",0.09945
"753",0.13353
"754",0.02673
"755",0.00024
"756",4e-05
"757",0.00057
"758",0.07285
"759",0.00416
"760",0.03696
"761",0.00127
"762",0.01949
"763",0.02051
"764",0.00025
"765",0.00645
"766",0.06396
"767",0.06617
"768",0.75628
"769",0.00047
"770",0.27894
"771",0.13591
"772",0.01965
"773",0.00331
"774",0.06475
"775",0.01216
"776",0.21488
"777",0.0058
"778",0.06974
"779",0.00059
"780",0.00041
"781",0.13247
"782",0.00652
"783",0.00754
"784",0.1639
"785",0.00077
"786",0.29853
"787",0.19222
"788",0.17461
"789",0.00256
"790",0.01028
"791",0.05373
"792",0.01167
"793",0.00484
"794",0.06049
"795",0
"796",0.01872
"797",0.05868
"798",5e-05
"799",0.03801
"800",0.00457
"801",7e-05
"802",0.10875
"803",0.09787
"804",0.00222
"805",0.05216
"806",0.16834
"807",2e-05
"808",0.00167
"809",0.09983
"810",0.18641
"811",0.0265
"812",0.00294
"813",0
"814",0.0398
"815",6e-04
"816",0.03774
"817",0.0085
"818",0.55361
"819",0.00546
"820",0.39824
"821",0.62245
"822",0.01008
"823",0.15628
"824",0.33489
"825",0.07279
"826",0.00286
"827",0.02125
"828",0.00072
"829",0.00335
"830",0.00019
"831",0.02311
"832",0.00137
"833",0.00473
"834",0.11421
"835",0.12173
"836",0.27289
"837",0.25419
"838",0.25077
"839",0.00123
"840",0.20783
"841",0.03166
"842",0.00664
"843",0.00471
"844",0.02479
"845",0.18411
"846",0.20734
"847",0.00225
"848",0.00982
"849",0.03569
"850",0.00038
"851",0.0021
"852",0.32491
"853",0.04214
"854",0.11276
"855",0.06736
"856",0.08237
"857",0.4229
"858",0.01225
"859",0.01505
"860",0.00317
"861",0.00219
"862",0.00763
"863",0.00021
"864",0.10355
"865",0.09696
"866",0.11784
"867",0.09443
"868",0.23122
"869",0.06737
"870",0.02877
"871",0.00356
"872",0.03354
"873",0.01245
"874",0
"875",0.00917
"876",0.16555
"877",0.00782
"878",0.00081
"879",0.08766
"880",0.13796
"881",0.06874
"882",0.0013
"883",0.01187
"884",0.04447
"885",0.00045
"886",0.073
"887",0.00528
"888",0.04936
"889",0.00708
"890",0.00459
"891",0.00087
"892",2e-05
"893",0.03065
"894",0.00017
"895",0.15837
"896",0.03817
"897",0.02753
"898",0.00719
"899",0.00072
"900",0.01105
"901",0.33037
"902",0.06179
"903",0.216
"904",0.07473
"905",0.17891
"906",0.19007
"907",0.07467
"908",0
"909",0.06502
"910",0.01449
"911",0.00375
"912",0.00062
"913",0.01723
"914",0.00191
"915",0.06425
"916",0.01913
"917",0.01343
"918",0.08119
"919",0.00209
"920",0.28533
"921",0.02267
"922",0.02056
"923",0.00669
"924",0.17251
"925",0.00142
"926",0.00181
"927",0.02586
"928",0.02513
"929",0.00134
"930",0.06589
"931",0.02864
"932",0.00382
"933",0.00026
"934",0.01752
"935",0.15984
"936",0.03211
"937",0.00353
"938",0.01176
"939",0.07332
"940",0.29847
"941",0.00471
"942",0.45699
"943",0.07521
"944",0.0011
"945",0.66741
"946",1e-05
"947",0.00041
"948",0.0386
"949",6e-05
"950",0.00035
"951",0.02443
"952",0.01197
"953",0.00136
"954",0.04015
"955",0.00589
"956",0.00129
"957",0.0617
"958",0.00017
"959",0.04336
"960",0.13926
"961",0.26471
"962",0.13569
"963",0.16373
"964",0.00253
"965",0.30881
"966",0.47592
"967",0.04646
"968",0.00074
"969",0.00887
"970",0.02484
"971",0.007
"972",0.05171
"973",0.00227
"974",0.07562
"975",0.04592
"976",0.10348
"977",0.0561
"978",0.06654
"979",0.00395
"980",0.29328
"981",0.33033
"982",0.10436
"983",0.00927
"984",0.56946
"985",0.07373
"986",0.00778
"987",0.0034
"988",0.18733
"989",0.0327
"990",0.02836
"991",1e-05
"992",0.00678
"993",0.03946
"994",0.14831
"995",0.00566
"996",0.03544
"997",0.03294
"998",0.01376
"999",0.15623
"1000",0.02937
