"","V1"
"1",0.29167
"2",0.0932
"3",0.40701
"4",0.06449
"5",0.38742
"6",0.27506
"7",0.09366
"8",0.01443
"9",0.27128
"10",0.28208
"11",0.04555
"12",0.46273
"13",0.49976
"14",0.467
"15",0.82552
"16",0.19703
"17",0.05991
"18",0.00222
"19",0.00179
"20",0.05589
"21",0.01037
"22",0.07518
"23",0.3742
"24",0.34722
"25",0.18958
"26",0.15114
"27",0.31409
"28",0.0052
"29",0.22364
"30",0.10479
"31",0.48856
"32",0.63966
"33",0.02664
"34",0.18881
"35",0.31795
"36",0.81442
"37",0.27842
"38",0.27277
"39",0.29394
"40",0.00434
"41",0.05514
"42",0.1251
"43",0.24804
"44",0.2783
"45",0.31865
"46",0.16731
"47",0.60274
"48",0.26956
"49",0.42141
"50",0.48113
"51",0.35587
"52",0.00595
"53",0.07213
"54",0.76715
"55",0.13744
"56",0.00658
"57",0.01333
"58",0.29644
"59",0.58437
"60",0.02574
"61",0.71599
"62",0.06391
"63",0.12647
"64",0.72617
"65",0.38281
"66",0.61508
"67",0.23153
"68",0.21223
"69",0.31271
"70",0.31722
"71",0.00146
"72",0.37644
"73",0.04269
"74",0.19635
"75",0.03496
"76",0.18067
"77",0.01559
"78",0.06306
"79",0.05557
"80",0.59409
"81",0.52037
"82",0.41901
"83",0.05961
"84",0.10781
"85",0.00082
"86",0.31778
"87",0.78101
"88",0.07242
"89",0.23788
"90",0.02297
"91",0.05573
"92",0.08745
"93",0.11873
"94",0.12878
"95",0.58221
"96",0.04982
"97",0.26168
"98",0.4849
"99",0.0107
"100",0.04095
"101",0.01892
"102",0.08349
"103",0.03355
"104",0.10885
"105",0.35025
"106",0.67558
"107",0.0495
"108",0.22064
"109",0.44174
"110",0.15256
"111",0.48974
"112",0.09475
"113",0.03047
"114",0.4999
"115",0.03591
"116",0.02565
"117",0.06119
"118",0.01985
"119",0.00087
"120",0.03044
"121",0.74718
"122",0.19973
"123",0.16376
"124",0.39903
"125",0.02637
"126",0.03489
"127",0.25161
"128",0.18589
"129",0.91751
"130",0.23062
"131",0.3479
"132",0.08069
"133",0.73243
"134",0.10225
"135",0.23549
"136",0.36365
"137",0.38899
"138",0.4834
"139",0.14965
"140",0.12206
"141",0.00925
"142",0.01694
"143",0.27392
"144",0.47369
"145",0.15264
"146",0.05322
"147",0.38167
"148",0.24282
"149",0.66363
"150",0.64345
"151",0.27182
"152",0.22392
"153",0.28895
"154",0.01846
"155",0.37165
"156",0.0756
"157",0.51587
"158",0.38113
"159",0.31645
"160",0.16461
"161",0.30578
"162",0.15982
"163",0.1045
"164",0.03716
"165",0.01223
"166",0.01558
"167",0.69559
"168",0.55384
"169",0.0958
"170",0.07402
"171",0.13768
"172",0.8525
"173",0.16545
"174",0.41863
"175",0.17667
"176",0.72818
"177",0.26809
"178",0.41439
"179",0.06174
"180",0.61936
"181",0.29417
"182",0.56541
"183",0.11693
"184",0.19184
"185",0.03504
"186",0.2624
"187",0.67742
"188",0.01926
"189",0.38723
"190",0.13498
"191",0.4872
"192",0.46375
"193",0.02909
"194",0.00135
"195",0.07527
"196",0.59224
"197",0.18427
"198",0.4822
"199",0.82651
"200",0.1545
"201",0.60868
"202",0.19337
"203",0.00346
"204",0.07974
"205",0.17305
"206",0.14759
"207",0.30526
"208",0.32747
"209",0.03964
"210",0.44171
"211",0.04109
"212",0.55576
"213",0.45105
"214",0.04085
"215",0.18572
"216",0.08575
"217",0.18477
"218",0.1089
"219",0.0076
"220",0.42047
"221",0.00602
"222",0.15337
"223",0.21405
"224",0.23256
"225",0.44094
"226",0.27799
"227",0.43188
"228",0.08438
"229",0.6055
"230",0.55462
"231",0.09791
"232",0.09015
"233",0.05621
"234",0.17818
"235",0.67572
"236",0.54706
"237",0.44048
"238",0.50767
"239",0.59355
"240",0.01066
"241",0.01551
"242",0.00633
"243",0.11571
"244",0.62555
"245",0.06594
"246",0.02172
"247",0.45
"248",0.14159
"249",0.01872
"250",0.37772
"251",0.13445
"252",0.37428
