"","V1"
"1",0.88622
"2",0.48684
"3",0.76448
"4",0.06849
"5",0.75364
"6",0.5814
"7",0.63071
"8",0.14564
"9",0.44027
"10",0.87085
"11",0.18406
"12",0.89361
"13",0.77011
"14",0.90914
"15",0.98644
"16",0.77263
"17",0.02418
"18",0.094
"19",0.00338
"20",0.28094
"21",0.00428
"22",0.67247
"23",0.87519
"24",0.39464
"25",0.19681
"26",0.55066
"27",0.92805
"28",0.03141
"29",0.76561
"30",0.45835
"31",0.67892
"32",0.97311
"33",0.12765
"34",0.34189
"35",0.76025
"36",0.99268
"37",0.87835
"38",0.77131
"39",0.44786
"40",0.09555
"41",0.25538
"42",0.09355
"43",0.4515
"44",0.67588
"45",0.44663
"46",0.11348
"47",0.99236
"48",0.73785
"49",0.94326
"50",0.91075
"51",0.81241
"52",0.03394
"53",0.34052
"54",0.99822
"55",0.51353
"56",0.02796
"57",0.03513
"58",0.47643
"59",0.95431
"60",0.21881
"61",0.96215
"62",0.34555
"63",0.53876
"64",0.93079
"65",0.96719
"66",0.85513
"67",0.62178
"68",0.50813
"69",0.75517
"70",0.21546
"71",0.01816
"72",0.95232
"73",0.12102
"74",0.48555
"75",0.24197
"76",0.19904
"77",0.29006
"78",0.367
"79",0.18934
"80",0.92947
"81",0.82861
"82",0.94326
"83",0.30992
"84",0.11882
"85",0.01406
"86",0.46243
"87",0.973
"88",0.1763
"89",0.54725
"90",0.06904
"91",0.01851
"92",0.01088
"93",0.53202
"94",0.27172
"95",0.89342
"96",0.20109
"97",0.68702
"98",0.87419
"99",0.06059
"100",0.03617
"101",0.02131
"102",0.29986
"103",0.16263
"104",0.43803
"105",0.44113
"106",0.96136
"107",0.07484
"108",0.6455
"109",0.91101
"110",0.47587
"111",0.5044
"112",0.06916
"113",0.2313
"114",0.84782
"115",0.44507
"116",0.10359
"117",0.09966
"118",0.01516
"119",0.0073
"120",0.20758
"121",0.8087
"122",0.83116
"123",0.52889
"124",0.66796
"125",0.48796
"126",0.0132
"127",0.47245
"128",0.26871
"129",0.99885
"130",0.77433
"131",0.13481
"132",0.6648
"133",0.92594
"134",0.45464
"135",0.46193
"136",0.76439
"137",0.769
"138",0.5406
"139",0.54679
"140",0.12205
"141",0.26673
"142",0.04306
"143",0.73921
"144",0.65993
"145",0.53449
"146",0.42802
"147",0.79328
"148",0.41993
"149",0.95435
"150",0.96478
"151",0.59936
"152",0.60191
"153",0.67334
"154",0.05001
"155",0.68287
"156",0.78396
"157",0.62584
"158",0.84181
"159",0.82158
"160",0.53853
"161",0.23414
"162",0.25899
"163",0.49426
"164",0.12091
"165",0.06677
"166",0.08794
"167",0.95638
"168",0.93467
"169",0.66582
"170",0.03699
"171",0.35617
"172",0.99573
"173",0.91444
"174",0.68081
"175",0.29863
"176",0.99755
"177",0.82287
"178",0.97569
"179",0.06659
"180",0.96012
"181",0.93018
"182",0.97504
"183",0.23306
"184",0.14736
"185",0.25181
"186",0.68497
"187",0.99257
"188",0.30768
"189",0.64016
"190",0.52269
"191",0.90967
"192",0.91094
"193",0.07504
"194",0.18413
"195",0.4702
"196",0.83689
"197",0.48472
"198",0.56255
"199",0.99302
"200",0.12415
"201",0.94743
"202",0.3052
"203",0.00034
"204",0.82434
"205",0.08645
"206",0.41649
"207",0.67869
"208",0.9963
"209",0.0658
"210",0.98035
"211",0.1132
"212",0.87081
"213",0.94814
"214",0.32952
"215",0.55831
"216",0.1096
"217",0.08212
"218",0.20312
"219",0.01832
"220",0.9113
"221",0.04031
"222",0.9059
"223",0.90968
"224",0.66985
"225",0.57372
"226",0.8524
"227",0.34529
"228",0.47898
"229",0.90873
"230",0.85091
"231",0.13332
"232",0.25985
"233",0.27402
"234",0.70044
"235",0.92321
"236",0.97181
"237",0.98925
"238",0.98956
"239",0.9582
"240",0.167
"241",0.11435
"242",0.05196
"243",0.76803
"244",0.89725
"245",0.10141
"246",0.0067
"247",0.64477
"248",0.15757
"249",0.09025
"250",0.4319
"251",0.31236
"252",0.91874
"253",0.64397
"254",0.42354
"255",0.11573
"256",0.55423
"257",0.92168
"258",0.89617
"259",0.47619
"260",0.48876
"261",0.18136
"262",0.00644
"263",0.40342
"264",0.08193
"265",0.78606
"266",0.06981
"267",0.78608
"268",0.99493
"269",0.69662
"270",0.00322
"271",0.00977
"272",0.46637
"273",0.59578
"274",0.62311
"275",0.21333
"276",0.06383
"277",0.29466
"278",0.63801
"279",0.026
"280",0.78717
"281",0.96202
"282",0.93169
"283",0.83746
"284",0.97897
"285",0.42665
"286",0.76335
"287",0.72563
"288",0.22733
"289",0.39618
"290",0.89322
"291",0.6695
"292",0.88929
"293",0.69633
"294",0.2377
"295",0.01424
"296",0.3944
"297",0.39308
"298",0.77145
"299",0.26748
"300",0.71906
"301",0.26755
"302",0.24998
"303",0.50352
"304",0.48938
"305",0.95345
"306",0.01253
"307",0.91914
"308",0.80494
"309",0.50814
"310",0.43304
"311",0.3029
"312",0.50739
"313",0.9334
"314",0.40421
"315",0.89082
"316",0.86491
"317",0.01154
"318",0.7451
"319",0.20901
"320",0.65235
"321",0.03607
"322",0.97941
"323",0.09442
"324",0.44567
"325",0.71745
"326",0.41901
"327",0.40813
"328",0.63574
"329",0.15908
"330",0.45125
"331",0.14031
"332",0.59008
"333",0.20249
"334",0.16735
"335",0.72722
"336",0.9637
"337",0.52512
"338",0.99658
"339",0.03348
"340",0.30432
"341",0.72536
"342",0.04642
"343",0.09981
"344",0.23913
"345",0.37701
"346",0.04516
"347",0.81705
"348",0.93806
"349",0.43867
"350",0.07853
"351",0.94033
"352",0.12875
"353",0.80828
"354",0.63444
"355",0.99166
"356",0.97793
"357",0.83479
"358",0.21193
"359",0.09478
"360",0.99568
"361",0.93608
"362",0.84977
"363",0.0108
"364",0.94301
"365",0.27553
"366",0.96823
"367",0.36639
"368",0.39068
"369",0.10247
"370",0.91681
"371",0.05983
"372",0.15022
"373",0.1416
"374",0.5512
"375",0.60936
"376",0.9111
"377",0.50201
"378",0.75495
"379",0.2599
"380",0.89419
"381",0.27592
"382",0.00541
"383",0.44864
"384",0.09363
"385",0.9918
"386",0.01424
"387",0.17416
"388",0.94272
"389",0.78533
"390",0.95548
"391",0.35675
"392",0.309
"393",0.63532
"394",0.66759
"395",0.00803
"396",0.19558
"397",0.93529
"398",0.97201
"399",0.00762
"400",0.35182
"401",0.07379
"402",0.00496
"403",0.77849
"404",0.88358
"405",0.06983
"406",0.99997
"407",0.58538
"408",0.69262
"409",0.13116
"410",0.11268
"411",0.88753
"412",0.35199
"413",0.34046
"414",0.61327
"415",0.55617
"416",0.77628
"417",0.75401
"418",0.32755
"419",0.04214
"420",0.87183
"421",0.17797
"422",0.5388
"423",0.08557
"424",0.82452
"425",0.73594
"426",0.482
"427",0.01152
"428",0.88861
"429",0.14901
"430",0.6928
"431",0.47051
"432",0.55662
"433",0.99792
"434",0.34442
"435",0.70712
"436",0.66
"437",0.11897
"438",0.09588
"439",0.58471
"440",0.89812
"441",0.93525
"442",0.02306
"443",0.92532
"444",0.36466
"445",0.05055
"446",0.05056
"447",0.97665
"448",0.55544
"449",0.78234
"450",0.93748
"451",0.19222
"452",0.57475
"453",0.09361
"454",0.17219
"455",0.99752
"456",0.0891
"457",0.04503
"458",0.00328
"459",0.26972
"460",0.70906
"461",0.4006
"462",0.58593
"463",0.9731
"464",6e-05
"465",0.00278
"466",0.27383
"467",0.92042
"468",0.99281
"469",0.68927
"470",0.2663
"471",0.07588
"472",0.08135
"473",0.12169
"474",0.16184
"475",0.35732
"476",0.53619
"477",0.55156
"478",0.19557
"479",0.98898
"480",0.613
"481",0.04433
"482",0.61844
"483",0.74372
"484",0.36738
"485",0.85746
"486",0.04319
"487",0.53534
"488",0.05806
"489",0.28762
"490",0.17089
"491",0.93758
"492",0.53596
"493",0.92037
"494",0.17743
"495",0.04426
"496",0.00095
"497",0.93714
"498",0.91878
"499",0.01298
"500",0.09395
"501",0.54075
"502",0.76379
"503",0.82834
"504",0.7319
"505",0.92096
"506",0.91111
"507",0.05417
"508",0.24395
"509",0.87204
"510",0.47377
"511",1e-05
"512",0.61711
"513",0.89635
"514",0.2181
"515",0.62291
"516",0.66542
"517",0.05101
"518",0.67676
"519",0.92823
"520",0.00572
"521",0.22748
"522",0.8534
"523",0.52474
"524",0.20767
"525",0.77391
"526",0.9841
"527",0.68048
"528",0.69999
"529",0.00548
"530",0.97904
"531",0.14392
"532",0.13884
"533",0.69278
"534",0.11925
"535",0.7755
"536",0.00138
"537",0.09249
"538",0.75038
"539",0.82534
"540",0.88774
"541",0.34464
"542",0.22957
"543",0.39093
"544",0.64436
"545",0.08597
"546",0.62783
"547",0.48992
"548",0.3383
"549",0.66959
"550",0.04148
"551",0.00178
"552",0.92038
"553",0.36295
"554",0.92781
"555",0.44957
"556",0.97
"557",0.49215
"558",0.56766
"559",0.12784
"560",0.7789
"561",0.69061
"562",0.46221
"563",0.5368
"564",0.22771
"565",0.50768
"566",0.75454
"567",0.94161
"568",0.93337
"569",0.31988
"570",0.70892
"571",0.47673
"572",0.34823
"573",0.80301
"574",0.93129
"575",0.67626
"576",0.4868
"577",0.29158
"578",0.87088
"579",0.03723
"580",0.07666
"581",0.17487
"582",0.19207
"583",0.8048
"584",0.75023
"585",0.25238
"586",0.2946
"587",0.9447
"588",0.89385
"589",0.0499
"590",0.16847
"591",0.99974
"592",0.85784
"593",0.58573
"594",0.99928
"595",0.07487
"596",0.13483
"597",0.0529
"598",0.14227
"599",0.75478
"600",0.25966
"601",0.02342
"602",0.65655
"603",0.09054
"604",0.95533
"605",0.18317
"606",0.31555
"607",0.20328
"608",0.00998
"609",0.80802
"610",0.81494
"611",0.38462
"612",0.58124
"613",0.95361
"614",0.01872
"615",0.38452
"616",0.07416
"617",0.99713
"618",0.29109
"619",0.67378
"620",0.64272
"621",0.13661
"622",0.08509
"623",0.14549
"624",0.04681
"625",0.77315
"626",0.81887
"627",0.99392
"628",0.47559
"629",0.49409
"630",0.19973
"631",0.6539
"632",0.74807
"633",0.01043
"634",0.02924
"635",0.81002
"636",0.97093
"637",0.07785
"638",0.54201
"639",0.8601
"640",0.65309
"641",0.989
"642",0.56899
"643",0.6876
"644",0.63195
"645",0.84594
"646",0.49301
"647",0.74869
"648",0.57779
"649",0.42058
"650",0.4645
"651",0.81975
"652",0.259
"653",0.42714
"654",0.74755
"655",0.00151
"656",0.10293
"657",0.79694
"658",0.71405
"659",0.91772
"660",0.67301
"661",0.38347
"662",0.38616
"663",0.85706
"664",0.65084
"665",0.8458
"666",0.15464
"667",0.08758
"668",0.11664
"669",0.80113
"670",0.71422
"671",0.55593
"672",0.29351
"673",0.55752
"674",0.29259
"675",0.36294
"676",0.32042
"677",0.96753
"678",0.08398
"679",0.25706
"680",0.3053
"681",0.28212
"682",0.004
"683",0.84223
"684",0.88946
"685",0.37743
"686",0.95911
"687",0.99834
"688",0.71434
"689",0.57448
"690",0.42563
"691",0.10866
"692",0.6878
"693",0.13866
"694",0.93325
"695",0.79912
"696",0.00026
"697",0.17822
"698",0.35595
"699",0.46153
"700",0.95709
"701",0.1826
"702",0.0089
"703",0.20584
"704",0.97271
"705",0.9171
"706",0.74926
"707",0.96309
"708",0.01457
"709",0.7623
"710",0.01504
"711",0.93756
"712",0.02197
"713",0.48714
"714",0.52679
"715",0.49579
"716",0.39877
"717",0.46899
"718",0.90227
"719",0.31732
"720",0.88429
"721",0.09985
"722",0.77594
"723",0.10281
"724",0.96808
"725",0.31224
"726",0.96819
"727",0.98853
"728",0.11709
"729",0.18555
"730",0.01481
"731",4e-05
"732",0.52967
"733",0.02518
"734",0.51536
"735",0.94803
"736",0.16527
"737",0.41505
"738",0.78163
"739",0.42458
"740",0.94717
"741",0.58285
"742",0.97484
"743",0.97419
"744",0.32601
"745",0.94455
"746",0.14447
"747",0.38294
"748",0.001
"749",0.77738
"750",0.8808
"751",0.07435
"752",0.9287
"753",0.23646
"754",0.61044
"755",0.67611
"756",0.68652
"757",0.00593
"758",0.79439
"759",0.28766
"760",0.9651
"761",0.07417
"762",0.39619
"763",0.39484
"764",0.94901
"765",0.39331
"766",0.10387
"767",0.40084
"768",0.89603
"769",0.62872
"770",0.00192
"771",0.5727
"772",0.0629
"773",0.37344
"774",0.92601
"775",0.04923
"776",0.05494
"777",0.40872
"778",0.98904
"779",0.47839
"780",0.02872
"781",0.58174
"782",0.93987
"783",0.51713
"784",0.99475
"785",0.25572
"786",0.7045
"787",0.85495
"788",0.5373
"789",0.58636
"790",0.5018
"791",0.42423
"792",0.10296
"793",0.5469
"794",0.55171
"795",0.10321
"796",0.82023
"797",0.19579
"798",0.21981
"799",0.8848
"800",0.36192
"801",0.93372
"802",0.37371
"803",0.28199
"804",0.31413
"805",0.02506
"806",0.50796
"807",0.07073
"808",0.97191
"809",0.60563
"810",0.00112
"811",0.79256
"812",0.91139
"813",0.8743
"814",0.06801
"815",0.2497
"816",0.92223
"817",0.18536
"818",0.27775
"819",0.26345
"820",0.09401
"821",0.92248
"822",0.00509
"823",0.56476
"824",0.53934
"825",0.36186
"826",0.48554
"827",0.23042
"828",0.2359
"829",0.30988
"830",0.19008
"831",0.72492
"832",0.09256
"833",0.49962
"834",0.73226
"835",0.31657
"836",0.33237
"837",0.94151
"838",0.09115
"839",0.45672
"840",0.56389
"841",0.97312
"842",0.76013
"843",0.30254
"844",0.1647
"845",0.42092
"846",0.90902
"847",0.70891
"848",0.47691
"849",0.74039
"850",0.77284
"851",0.70997
"852",0.99876
"853",0.12447
"854",0.131
"855",0.96537
"856",0.84783
"857",0.35784
"858",0.04599
"859",0.20107
"860",0.17678
"861",0.20115
"862",0.13563
"863",0.20324
"864",0.76721
"865",0.38467
"866",0.2705
"867",0.70542
"868",0.02545
"869",0.33617
"870",0.02201
"871",0.01037
"872",0.82095
"873",0.26182
"874",0.10429
"875",0.0872
"876",0.75093
"877",0.7808
"878",0.53165
"879",0.66385
"880",0.56748
"881",0.49419
"882",0.65408
"883",0.00105
"884",0.87682
